Ticker,Start Price,Start,End,Short,Long,Baseline,Managed,% Difference,$ Profit
OXY,63.28963851928711,2018-01-01,2022-12-31,2,52,-0.010648502955580064,2.302342954506364,233.78864482155782,209.00409185742237
C,61.415767669677734,2018-01-01,2022-12-31,2,52,-0.33815953379885366,1.0527766550026563,210.1618531706366,126.07285412138134
DIS,108.72605895996094,2018-01-01,2022-12-31,2,52,-0.22430367366605353,1.1096929904238158,171.9740855799242,229.3786044642361
PYPL,73.83999633789062,2018-01-01,2022-12-31,2,52,-0.036126845609874,1.8315364917441084,193.76650639634357,209.08064418098863
DOCU,39.72999954223633,2018-01-01,2022-12-31,2,52,0.33283394809058775,2.5724438387121165,168.0336769505297,141.93319207669737
XOM,63.798709869384766,2018-01-01,2022-12-31,2,52,0.5230015127475687,1.4263793405776912,59.31562249077382,154.79987158258524
TSM,35.13541793823242,2018-01-01,2022-12-31,2,52,0.7420833417613752,1.631379460208621,51.047851565362045,92.45461708851033
DEO,128.2352752685547,2018-01-01,2022-12-31,2,52,0.32010118244522356,0.8942364260072209,43.49176041934351,242.90792951275918
AMD,10.979999542236328,2018-01-01,2022-12-31,2,52,1.7747670869755958,3.1713580152526744,50.331825501048314,45.801509097978204
EL.PA,103.62399291992188,2018-01-01,2022-12-31,2,52,0.4725458031288179,1.1733106293515831,47.58866072171084,225.2071252687194
